gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Pja1,6.079435926434613,6.250606848982561,0.1711709225479483,0.016895274386708587,1.7722347506978569
Hagh,4.654010231255807,4.914643200879464,0.2606329696236571,0.016918834683290977,1.7716295531199842
Ppid,5.071401600056748,5.191712373510902,0.12031077345415397,0.017067177938299486,1.7678382836389652
Lyn,2.3841753832362738,2.177403100161103,-0.20677228307517082,0.017380532189574402,1.759936929644722
Mtrr,2.0934223969122905,1.8320341300524952,-0.2613882668597953,0.017531417101971362,1.7561829775347197
Hypk,5.0920715349831065,5.198169668649349,0.10609813366624277,0.01754477028840992,1.7558523135773347
Arid4a,5.70054290755224,5.501318928608588,-0.1992239789436523,0.017616506345518167,1.7540802154077375
Rfx5,3.4192644681848976,3.7824791335169876,0.36321466533209,0.017740433982962853,1.7510357602596112
2610524H06Rik,2.6874280024475827,3.0530685951102137,0.36564059266263094,0.01774929134445908,1.750818981839017
Slc39a7,5.10419516526895,5.276967775072382,0.1727726098034319,0.017969307945080483,1.7454686486239321
Stx18,2.0435016432076702,2.416026202795473,0.3725245595878026,0.018328423490191724,1.7368748890451648
Nphp4,2.717609067258429,2.926424775252375,0.2088157079939461,0.018394930644497837,1.7353018452761084
Kdm5b,3.439410276442621,3.5215008953189897,0.08209061887636881,0.018470798588787734,1.733514327342312
Rps7,5.629327848786336,5.846263487322975,0.216935638536639,0.01890384022753914,1.723449961952885
Zyg11b,6.4113544584541104,6.517506564473634,0.10615210601952363,0.018910132599963023,1.723305425822843
Ube2z,5.270177467143394,5.490224888535141,0.22004742139174738,0.01901256397922853,1.720959311490995
Tmco3,3.613560404246318,3.7357902204610096,0.12222981621469176,0.01902121869897808,1.720761661042901
Sgpp1,4.104736616213203,4.382207206114727,0.2774705899015242,0.019334636972526024,1.7136639778349725
Uvssa,3.2887831249329516,3.7528158875606885,0.46403276262773696,0.019512943332848823,1.7096772166740406
Cops7a,5.037772147986877,5.2416822438016455,0.20391009581476816,0.019550701537162266,1.7088376542143007
Suco,3.9282960333261308,4.2800036147772325,0.3517075814511017,0.01975746410773453,1.7042687983461966
Ndst2,1.8216376558671123,2.1394949990800445,0.31785734321293213,0.01980864832196133,1.7031451582999908
Pan2,1.6166987617749722,2.160473232413813,0.543774470638841,0.01982077486990984,1.7028793712862635
Wdr45,2.5696645169630297,2.775872687581725,0.20620817061869534,0.02007600988217322,1.6973225992137184
Rbm11,1.5574840773357292,2.1196793066719812,0.562195229336252,0.020085892946516654,1.6971088563333776
Sp2,2.587457581781917,2.8389126944459697,0.25145511266405274,0.020128448633572712,1.6961896963404655
